	Major Program Name	School Year	Enroll, Female: Avg. ACT Math Score (Enrl F)	Enroll, Female: Avg. SAT Math Score (Enrl F)
73	Computer Science + X	2014	29.58	666.67
86	Computer Science + X	2016	34.0	752.0
90	Computer Science + X	2010	21.0	565.0
91	Computer Science + X	2011	19.0	380.0
92	Computer Science + X	2012	20.0	450.0
95	Computer Science + X	2015	23.167	496.67
96	Computer Science + X	2016	28.0	526.67
224	Information Science	2014	21.57	510.0
236	Information Science	2015	26.0	640.0
237	Information Science	2014	28.0	618.0
238	Information Science	2013	23.0	615.0
239	Information Science	2012	24.0	551.0
240	Information Science	2011	24.0	581.0
241	Information Science	2010	26.0	555.0
255	Information Science	2013	23.0	550.0
257	Information Science	2015	23.0	507.0
324	Computer Science + X	2011	27.67	655.0
357	Computer Science + X	2012	31.6	686.36
358	Computer Science + X	2013	30.25	637.5
359	Computer Science + X	2014	28.28	710.0
360	Computer Science + X	2015	29.8	673.33
377	Computer Science + X	2012	32.5	680.0
379	Computer Science + X	2014	30.0	620.0
380	Computer Science + X	2015	31.6667	800.0
382	Computer Science + X	2012	28.0	763.33
383	Computer Science + X	2013	30.67	800.0
384	Computer Science + X	2014	35.0	800.0
385	Computer Science + X	2015	31.1667	767.143
390	Computer Science + X	2014	26.5	710.0
395	Computer Science + X	2014	30.0	800.0
396	Computer Science + X	2015	30.0	690.0
397	Computer Science + X	2016	30.67	699.0
464	Information Science	2012	32.0	697.5
465	Information Science	2013	32.0	675.0
783	Computer Science	2012	26.0	560.0
784	Computer Science	2013	29.0	653.0
785	Computer Science	2014	26.0	706.0
963	Computer Science	2011	28.67	669.56
1064	Computer Science	2010	26.5	680.0
1480	Computer Science	2014	17.0	740.0
1481	Computer Science	2013	20.0	563.0
1486	Computer Science	2014	34.0	689.0
1487	Computer Science	2013	33.0	578.0
1488	Computer Science	2012	23.0	687.0
1489	Computer Science	2011	31.0	691.0
1490	Computer Science	2010	26.0	660.0
1491	Computer Science	2014	20.0	477.0
1492	Computer Science	2013	22.7	508.0
1493	Computer Science	2012	23.6	595.0
1494	Computer Science	2011	25.6	586.0
1501	Computer Science	2014	25.5	601.11
1503	Computer Science	2011	26.4	555.67
1504	Computer Science	2012	27.0	636.67
1505	Computer Science	2013	26.5	690.0
1506	Computer Science	2014	28.75	611.25
1507	Computer Science	2010	19.63	485.26
1508	Computer Science	2011	23.0	587.5
1509	Computer Science	2012	21.67	560.77
1510	Computer Science	2013	24.75	549.23
1511	Computer Science	2014	26.15	582.31
1522	Computer Science	2012	27.4	450.0
1531	Computer Science	2015	25.0	480.0
1539	Computer Science	2015	30.0	689.0
1542	Computer Science	2012	29.5	695.38
1543	Computer Science	2013	30.28	721.39
1544	Computer Science	2014	32.08	721.49
1545	Computer Science	2015	31.55	716.62
1631	Computer Science	2015	32.0	707.0
1643	Computer Science	2016	32.0	720.0
1647	Computer Science	2016	28.0	590.0
1648	Computer Science	2015	25.0	640.0
1649	Computer Science	2016	27.3	563.0
1650	Computer Science	2015	28.5	678.0
1651	Computer Science	2016	31.8	724.0
1654	Computer Science	2016	31.0	689.0
1655	Computer Science	2011	31.78	750.0
1656	Computer Science	2012	33.43	731.43
1657	Computer Science	2013	33.67	751.05
1658	Computer Science	2014	33.52	752.2
1659	Computer Science	2015	33.375	765.0
1662	Computer Science	2016	31.74	713.85
1678	Computer Science	2015	25.83	554.0
1708	Computer Science	2015	23.0	537.0
1712	Computer Science	2011	26.0	530.0
1713	Computer Science	2012	25.0	572.0
1714	Computer Science	2013	26.0	562.0
1715	Computer Science	2014	25.0	557.0
1716	Computer Science	2015	22.0	575.0
1721	Computer Science	2013	26.0	641.0
1722	Computer Science	2014	26.0	638.0
1723	Computer Science	2015	25.0	640.0
1724	Computer Science	2016	27.0	633.0
1725	Computer Science	2016	30.67	705.27
1782	Computer Science	2010	31.3	690.0
1783	Computer Science	2011	28.9	678.0
1784	Computer Science	2012	29.6	682.0
1785	Computer Science	2013	29.4	667.0
1786	Computer Science	2014	27.6	634.0
1795	Computer Science	2015	29.2	652.0
1863	Computer Science	2013	20.0	520.0
1864	Computer Science	2014	25.6	634.0
1873	Computer Science	2015	24.9	609.0
1920	Computer Science + X	2014	32.0	650.0
1922	Computer Science + X	2012	23.0	520.0
1924	Computer Science + X	2010	23.0	720.0
1926	Computer Science + X	2015	25.0	610.0
1927	Computer Science + X	2014	24.0	582.0
1928	Computer Science + X	2013	27.0	620.0
1929	Computer Science + X	2012	26.0	575.0
1930	Computer Science + X	2011	26.0	568.0
1931	Computer Science + X	2010	27.0	588.0
1934	Computer Science + X	2015	31.0	763.0
1935	Computer Science + X	2016	29.0	705.0
2117	General Engineering	2014	30.0	635.0
2118	General Engineering	2013	28.0	637.0
2119	General Engineering	2012	29.0	615.0
2121	General Engineering	2010	31.0	670.0
2122	General Engineering	2011	28.0	639.0
2123	General Engineering 	2015	29.0	642.0
2124	General Engineering 	2016	29.0	617.0
2125	Aerospace Engineering	2010	29.8	663.0
2126	Aerospace Engineering	2011	29.5	662.0
2127	Aerospace Engineering	2012	29.5	667.0
2128	Aerospace Engineering	2013	29.3	670.0
2129	Aerospace Engineering	2014	30.9	669.0
2130	Aerospace Engineering	2010	23.5	534.71
2131	Aerospace Engineering	2011	23.0	541.25
2132	Aerospace Engineering	2012	23.8	572.31
2133	Aerospace Engineering	2013	23.75	558.75
2134	Aerospace Engineering	2014	24.79	569.38
2135	Aerospace Engineering	2015	29.3	657.0
2140	Chemical Engineering	2012	29.0	601.0
2141	Chemical Engineering	2013	28.0	659.0
2142	Chemical Engineering	2014	27.0	640.0
2227	Computer Science	2012	25.0	663.0
2228	Computer Science	2013	24.0	530.0
2229	Computer Science	2014	28.0	600.0
2344	Computer Science	2014	33.0	684.0
2349	Computer Science	2010	29.0	580.0
2350	Computer Science	2011	26.0	660.0
2351	Computer Science	2012	33.0	620.0
2352	Computer Science	2013	26.5	560.0
2354	Computer Science	2010	22.67	470.0
2355	Computer Science	2011	23.0	530.0
2356	Computer Science	2012	24.5	551.43
2357	Computer Science	2013	22.8	542.86
2358	Computer Science	2014	18.0	455.0
2359	Computer Science	2014	25.7	630.0
2361	Computer Science	2012	26.7	640.0
2362	Computer Science	2011	30.0	700.0
2363	Computer Science	2010	26.3	700.0
2366	Computer Science	2015	25.4	475.0
2374	Computer Science	2015	32.0	705.0
2376	Computer Science	2016	30.0	666.0
2382	Computer Science	2015	29.5	692.0
2383	Computer Science	2016	29.3	704.0
2439	Software Engineering	2014	24.5	570.0
2520	Electrical Engineering	2012	27.0	630.0
2521	Electrical Engineering	2013	29.0	675.0
2522	Electrical Engineering	2014	25.0	700.0
2533	Electrical Engineering	2014	31.0	683.33
2536	Electrical Engineering	2011	28.0	685.0
2543	Computer Science + X	2010	17.0	570.0
2544	Computer Science + X	2011	22.857	500.0
2545	Computer Science + X	2012	23.857	430.0
2546	Computer Science + X	2013	22.1	545.0
2548	Electrical Engineering	2014	28.0	635.0
2549	Electrical Engineering	2013	32.5	610.0
2552	Electrical Engineering	2010	23.0	640.0
2553	Electrical Engineering	2014	29.4	720.0
2555	Electrical Engineering	2012	28.8	800.0
2559	Electrical Engineering	2015	25.2	580.0
2581	Electrical Engineering	2015	30.0	707.0
2582	Computer Science + X	2015	28.0	702.0
2586	Computer Science + X	2014	24.0	530.0
2587	Computer Science + X	2013	25.0	533.0
2588	Computer Science + X	2012	20.0	584.0
2589	Computer Science + X	2011	26.0	420.0
2591	Computer Science + X	2016	33.0	590.0
2592	Electrical Engineering	2016	33.0	748.0
2596	Electrical Engineering	2016	29.8	635.0
2599	Electrical Engineering	2015	29.0	660.0
2600	Electrical Engineering	2016	30.0	700.0
2616	Electrical Engineering	2015	25.5	665.0
2624	Computer Science + X	2015	22.3	529.2
2664	Mechanical Engineering	2012	26.0	672.0
2665	Mechanical Engineering	2013	27.0	603.0
2666	Mechanical Engineering	2014	27.0	640.0
2677	Mechanical Engineering	2010	30.1	653.0
2678	Mechanical Engineering	2011	29.9	682.0
2679	Mechanical Engineering	2012	29.3	637.0
2680	Mechanical Engineering	2013	29.8	626.0
2681	Mechanical Engineering	2014	29.2	635.0
2682	Mechanical Engineering	2014	31.0	710.0
2684	Mechanical Engineering	2012	28.0	691.0
2687	Mechanical Engineering	2014	26.6	560.0
2688	Mechanical Engineering	2013	24.0	588.0
2689	Mechanical Engineering	2012	21.0	560.0
2691	Mechanical Engineering	2010	35.0	624.0
2697	Mechanical Engineering	2015	30.2	642.0
2712	Mechanical Engineering	2015	33.0	693.0
2713	Mechanical Engineering	2016	31.0	692.0
2727	Mechanical Engineering	2015	22.0	535.0
